id;code;description;default_value
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-mail-forward;fa-mail-forward css class;fa-mail-forward
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-mail-reply;fa-mail-reply css class;fa-mail-reply
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-mail-reply-all;fa-mail-reply-all css class;fa-mail-reply-all
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-male;fa-male css class;fa-male
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-map-marker;fa-map-marker css class;fa-map-marker
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-meh-o;fa-meh-o css class;fa-meh-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-microphone;fa-microphone css class;fa-microphone
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-microphone-slash;fa-microphone-slash css class;fa-microphone-slash
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-minus;fa-minus css class;fa-minus
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-minus-circle;fa-minus-circle css class;fa-minus-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-minus-square;fa-minus-square css class;fa-minus-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-minus-square-o;fa-minus-square-o css class;fa-minus-square-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-mobile;fa-mobile css class;fa-mobile
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-mobile-phone;fa-mobile-phone css class;fa-mobile-phone
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-money;fa-money css class;fa-money
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-moon-o;fa-moon-o css class;fa-moon-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-music;fa-music css class;fa-music
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-pencil;fa-pencil css class;fa-pencil
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-pencil-square;fa-pencil-square css class;fa-pencil-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-pencil-square-o;fa-pencil-square-o css class;fa-pencil-square-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-phone;fa-phone css class;fa-phone
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-phone-square;fa-phone-square css class;fa-phone-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-picture-o;fa-picture-o css class;fa-picture-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plane;fa-plane css class;fa-plane
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plus;fa-plus css class;fa-plus
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plus-circle;fa-plus-circle css class;fa-plus-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plus-square;fa-plus-square css class;fa-plus-square
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-power-off;fa-power-off css class;fa-power-off
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-print;fa-print css class;fa-print
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-puzzle-piece;fa-puzzle-piece css class;fa-puzzle-piece
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-qrcode;fa-qrcode css class;fa-qrcode
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-question;fa-question css class;fa-question
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-question-circle;fa-question-circle css class;fa-question-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-quote-left;fa-quote-left css class;fa-quote-left
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-quote-right;fa-quote-right css class;fa-quote-right
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-random;fa-random css class;fa-random
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-refresh;fa-refresh css class;fa-refresh
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-reply;fa-reply css class;fa-reply
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-reply-all;fa-reply-all css class;fa-reply-all
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-retweet;fa-retweet css class;fa-retweet
